stream_id;step;prefix_size;exact;estimate
0;1;10000;9713;11002,5
0;2;20000;19329;21406
0;3;30000;28923;29235,1
0;4;40000;38509;40614,8
0;5;50000;48061;53603,9
0;6;60000;57575;68312,5
0;7;70000;67107;81857,3
0;8;80000;76600;87906,7
0;9;90000;86112;93430,4
0;10;100000;95618;119471
1;1;10000;9692;8207,73
1;2;20000;19325;18413,4
1;3;30000;28949;28004,8
1;4;40000;38525;35882,5
1;5;50000;48083;41518,5
1;6;60000;57643;52800,9
1;7;70000;67201;61542,7
1;8;80000;76680;67382,1
1;9;90000;86186;80287,2
1;10;100000;95676;88831,1
2;1;10000;9691;8970,62
2;2;20000;19315;15010,7
2;3;30000;28898;20999,8
2;4;40000;38496;28805,9
2;5;50000;48013;33798,7
2;6;60000;57570;49827,9
2;7;70000;67088;64785,9
2;8;80000;76637;70970,5
2;9;90000;86095;73719,5
2;10;100000;95558;80111,9
3;1;10000;9735;6878,73
3;2;20000;19390;18377,8
3;3;30000;28981;28974,8
3;4;40000;38593;38060,3
3;5;50000;48135;48644,3
3;6;60000;57647;63261
3;7;70000;67140;73186,2
3;8;80000;76663;79682,1
3;9;90000;86149;84268,6
3;10;100000;95653;85479,8
4;1;10000;9715;9746,04
4;2;20000;19377;18334,4
4;3;30000;28960;25634,1
4;4;40000;38570;33886
4;5;50000;48136;36124,3
4;6;60000;57691;46188,7
4;7;70000;67241;53333,5
4;8;80000;76770;59391,7
4;9;90000;86299;64362,8
4;10;100000;95814;78612,4
